Título;Preço;Taxa de Condomínio;IPTU;Área;Banheiros;Vagas na Garagem;Detalhes do Imóvel;Detalhes do Condominio;CEP;Município;Bairro;Logradouro;Quartos
Vendo apartamento 2 quartos 1 suíte no Sun Set;219900;297;1783;58;2;1;Área de serviço, Piscina, Academia;Piscina, Segurança 24h, Salão de festas, Elevador, Academia;59091130;Natal;Ponta Negra;Rua Joaquim Eduardo de Farias;2
Cobertura Duplex c/ 174m² no Cond. Imperial Vila Park;650000;850;3870;174;4;2;Academia, Churrasqueira, Piscina;Permitido animais, Condomínio fechado, Piscina, Salão de festas, Portaria, Academia, Elevador;59091250;Natal;Ponta Negra;Rua Desportista Jeremias Pinheiro da Câmara Filho;3
Última unidade no Palazzo Cristal, apartamento 3 quartos em Petrópolis;568661;520;0;97;3;2;Piscina, Academia, Varanda, Churrasqueira, Área de serviço, Ar condicionado;Piscina, Segurança 24h, Elevador, Academia;59020150;Natal;Petrópolis;Rua Trairi - até 759/760;3
Neópolis- Apartamento no L´acqua Condomínio Club-72m2- Andar Alto- R$ 459 Mil Financia.;459000;433;1;72;2;1;Churrasqueira, Piscina, Academia;Condomínio fechado, Piscina, Salão de festas, Academia, Permitido animais, Portaria, Elevador;59086005;Natal;Neópolis;Rua Lúcia Viveiros;2
Apartamento com 3 quartos em Ponta Negra - Natal - RN;680000;0;0;79;2;2;empty;empty;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Supreme Garden - Lançamento Exclusivo Colmeia;974990;0;0;144;5 ou mais;3;Varanda, Academia, Piscina, Churrasqueira;Piscina, Salão de festas, Elevador, Condomínio fechado, Permitido animais, Portaria, Academia;59054977;Natal;Lagoa Nova;Rua dos Tororós;4
Apartamento com 4 quartos em Lagoa Nova;1400000;900;4900;164;5 ou mais;3;Piscina, Varanda, Academia;Salão de festas, Academia, Portaria, Elevador, Permitido animais, Condomínio fechado, Piscina;59056190;Natal;Lagoa Nova;Rua Antídio de Azevedo;4
Apartamento com 4 suítes em Candelária;750000;1675;4487;220;5 ou mais;3;Churrasqueira, Piscina, Ar condicionado, Mobiliado;Piscina, Elevador, Condomínio fechado, Salão de festas, Permitido animais;59064735;Natal;Candelária;Rua Prefeito Sandoval Cavalcante de Albuquerque - até 3641/3642;4
Lançamento na Av. Rui Barbosa em Lagoa Nova - 3 suítes - 110m²;765000;0;0;110;4;2;Piscina, Academia, Varanda, Churrasqueira;Academia, Piscina, Condomínio fechado, Portaria, Elevador, Permitido animais, Salão de festas;59056300;Natal;Lagoa Nova;Avenida Rui Barbosa;3
Terramaris Condominio Clube | Lindo Apartamento para venda tem 79 metros quadrados com 3 q;730000;550;2500;79;3;2;Churrasqueira, Piscina, Academia, Varanda, Ar condicionado, Mobiliado;Academia, Piscina, Salão de festas, Elevador, Portaria, Condomínio fechado, Permitido animais;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Belíssimo apartamento com 3 suítes à venda em Lagoa Nova - 142m² - Natal/RN;698000;950;3500;142;1;2;Área de serviço, Piscina;Piscina, Elevador;59075250;Natal;Nova Descoberta;Avenida Amintas Barros - de 4427/4428 ao fim;3
Excelente apartamento no Condomínio Jardins de Lagoa Nova (117 m², andar alto, 3/4);719999;584;419;117;3;2;Churrasqueira, Piscina, Varanda, Academia, Ar condicionado;Academia, Permitido animais, Piscina, Salão de festas, Elevador, Portaria, Condomínio fechado;59062380;Natal;Lagoa Nova;Rua Doutor Rômulo Jorge;3
Apartamento para venda Jardim Satélite, 50m², com 2 quartos em Cidade Satélite - Natal - R;100000;250;700;50;1;1;Churrasqueira, Armários na cozinha, Armários embutidos;empty;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Apartamento no Residencial Alvorada com 3 dormitórios à venda, 75 m² por R$ 390.000 - Lago;390000;0;0;76;2;2;Área de serviço, Churrasqueira, Academia, Piscina;Condomínio fechado, Academia, Piscina;59054600;Natal;Dix-Sept Rosado;Avenida Interventor Mário Câmara;3
Cobertura com 5 dormitórios à venda, 568 m² por R$ 2.000.000,00 - Tirol - Natal/RN;2000000;2700;8246;568;5 ou mais;4;Área de serviço, Churrasqueira, Varanda, Ar condicionado, Piscina;Elevador, Piscina;59020450;Natal;Tirol;Rua Joaquim Fagundes;5 ou mais
APARTAMENTO 2 QUARTOS NO CENTRAL PARK -2/4 - 67m² - NEÓPOLIS;350000;350;0;67;2;1;Varanda, Academia, Piscina, Área de serviço, Churrasqueira;Condomínio fechado, Elevador, Segurança 24h, Salão de festas, Piscina, Academia;59086005;Natal;Neópolis;Rua Lúcia Viveiros;2
Apartamento para Venda em Natal, Capim Macio, 2 dormitórios, 1 suíte, 2 banheiros, 2 vagas;329000;312;1100;55;2;2;Piscina, Churrasqueira;Piscina;59082120;Natal;Capim Macio;Rua Antônio Madruga;2
APARTAMENTO 3 SUÍTES NO RESIDENCIAL JARDIM HOLANDA - BARRO VERMELHO.;370000;790;0;93;3;2;Churrasqueira, Piscina;Elevador, Condomínio fechado, Permitido animais, Piscina, Salão de festas;59030330;Natal;Barro Vermelho;Rua Professor Clementino Câmara;3
Apartamento para venda tem 173 metros quadrados com 3 quartos em Tirol - Natal - RN;280000;1000;0;173;3;1;empty;Condomínio fechado, Elevador, Salão de festas;59020620;Natal;Tirol;Rua Doutor Ewerton Dantas Cortez;3
Apartamento para venda tem 56 metros quadrados com 2 quartos em Ponta Negra - Natal - RN;250000;350;0;56;2;1;Academia, Piscina, Churrasqueira;Salão de festas, Academia, Permitido animais, Condomínio fechado, Portaria, Elevador, Piscina;59091250;Natal;Ponta Negra;Rua Desportista Jeremias Pinheiro da Câmara Filho;2
Apartamento com 166 m2 - 3 suítes- Living Garden - Vista Panorâmica - Escriturado;1680000;1200;5500;166;5 ou mais;empty;Varanda, Churrasqueira, Ar condicionado, Academia, Piscina, Mobiliado;Portaria, Piscina, Academia, Elevador, Condomínio fechado, Salão de festas, Permitido animais;59020240;Natal;Tirol;Rua Ceará Mirim;3
APARTAMENTO RESIDENCIAL em NATAL - RN, NEÓPOLIS;215000;0;0;57;2;1;empty;empty;59086640;Natal;Neópolis;Avenida Porto de Pedras - até 4505/4506;2
Apartamento com mobílias, com 2 quartos em Capim Macio - Natal - RN;195000;401;1300;50;1;1;Mobiliado, Ar condicionado, Churrasqueira, Academia, Armários embutidos, Piscina;Condomínio fechado, Piscina, Academia, Elevador, Portaria, Permitido animais, Salão de festas;59082260;Natal;Capim Macio;Rua Historiador Francisco Fausto de Souza;2
Residencial Maria de Fátima;259990;403;0;57;2;1;Piscina, Churrasqueira, Academia;Salão de festas, Elevador, Piscina, Permitido animais, Portaria, Condomínio fechado, Academia;59022590;Natal;Barro Vermelho;Vila Progresso;2
NATAL - Apartamento Padrão - Petrópolis;420000;1075;400;170;1;1;Área de serviço;Salão de festas, Elevador;59062350;Natal;Lagoa Nova;Avenida Amintas Barros - de 1948 a 2594 - lado par;3
NATAL - Apartamento Padrão - Lagoa Seca;370000;750;0;103;3;2;Área de serviço;empty;59063350;Natal;Lagoa Nova;Avenida Amintas Barros - de 2596 a 3192 - lado par;3
Apartamento Venda, Lagoa Nova;380000;450;1576;82;2;3;Churrasqueira, Ar condicionado, Piscina;Elevador, Piscina;59054550;Natal;Lagoa Nova;Rua dos Tororós;3
OPORTUNIDADE NO NATTURE COM 02 QUARTOS E EMOVEIS PROJETADOS;310000;471;1647;56;2;1;empty;empty;59066050;Natal;Candelária;Rua Eletricista Elias Ferreira;2
Belíssima cobertura duplex com 164m² - vista livre  3 suítes  varanda  3 vagas - Tirol - N;1200000;1200;0;164;4;3;Varanda, Piscina, Academia, Ar condicionado, Churrasqueira;Permitido animais, Portaria, Salão de festas, Elevador, Condomínio fechado, Piscina, Academia;59014540;Natal;Tirol;Rua Capitão Abdon Nunes;3
Apartamento com 3 dormitórios à venda, 92 m² por R$ 280.000,00 - Candelária - Natal/RN;280000;1100;300;92;1;2;Ar condicionado, Piscina, Churrasqueira, Área de serviço;Piscina, Elevador;59064330;Natal;Candelária;Rua Anísio de Souza;3
Apartamento para venda com 55 metros quadrados com 2 quartos em Tirol - Natal - RN;295633;515;0;55;2;1;Churrasqueira, Piscina, Varanda;Condomínio fechado, Salão de festas, Piscina, Elevador;59022020;Natal;Tirol;Avenida Governador Juvenal Lamartine;2
Apartamento para venda possui 105 metros quadrados com 3 quartos em Candelária - Natal - R;550000;950;1;105;4;2;Ar condicionado, Piscina, Churrasqueira, Armários na cozinha, Armários embutidos, Academia;Condomínio fechado, Piscina, Salão de festas, Academia, Portaria, Elevador;59064570;Natal;Candelária;Rua Ataulfo Alves;3
Apartamento para venda tem 57 metros quadrados com 2 quartos em Ponta Negra - Natal - RN;295000;363;1600;57;1;1;Armários embutidos, Armários na cozinha, Varanda, Área de serviço, Piscina, Churrasqueira;Elevador, Portaria, Salão de festas, Permitido animais, Piscina, Condomínio fechado;59090515;Natal;Ponta Negra;Rua do Golfinho;2
Apartamento para Venda em Natal, Tirol, 4 dormitórios, 3 suítes, 5 banheiros, 2 vagas;660000;1300;4475;221;5 ou mais;2;Churrasqueira, Piscina;Piscina;59015350;Natal;Tirol;Avenida Almirante Alexandrino de Alencar;4
Luxo & Exclusividade em Petrópolis - Entre a Casa é sua!!;800000;400;300;105;3;2;Ar condicionado, Piscina, Academia, Churrasqueira, Mobiliado;Condomínio fechado, Salão de festas, Portaria, Elevador, Academia, Permitido animais, Piscina;59014150;Natal;Petrópolis;Rua Trairi - de 761/762 a 805/806;3
ED ARNALDO SIMONETTI EM LAGOA NOVA;750000;0;0;119;5 ou mais;2;empty;empty;59062360;Natal;Lagoa Nova;Rua Doutor Antônio Severiano da Câmara;3
Apartamento à venda no Saint Charbel  com 108 metros quadrados com 4 quartos em Capim Maci;699000;0;0;108;4;empty;Piscina, Varanda, Churrasqueira;Elevador, Salão de festas, Permitido animais, Piscina;59082080;Natal;Capim Macio;Rua Missionário Gunnar Vingren;4
Oportunidade, more no queridinho do Tirol;360000;380;1175;56;2;1;Academia, Armários embutidos, Mobiliado, Varanda, Armários na cozinha, Churrasqueira, Piscina;Piscina, Permitido animais, Elevador, Condomínio fechado, Portaria, Academia, Salão de festas;59020300;Natal;Tirol;Avenida Campos Sales - de 541/542 ao fim;2
La Playa Residence;316490;empty;empty;54;2;1;empty;empty;59092550;Natal;Ponta Negra;Rua Professor Pedro Pinheiro de Souza;2
Flat Beira Mar Ponta Negra;450000;1200;empty;98;2;1;Armários embutidos, Armários na cozinha, Ar condicionado, Varanda;Condomínio fechado, Elevador, Segurança 24h, Portaria, Piscina;59090050;Natal;Ponta Negra;Rua Francisco Gurgel;2
Apartamento à venda  120m²  com 4 quartos em Petrópolis - Natal - RN;650000;0;0;120;3;2;Churrasqueira, Piscina;Piscina, Elevador, Condomínio fechado, Permitido animais, Portaria, Salão de festas;59012230;Natal;Petrópolis;Rua Ana Néri - até 339/340;4
Belissímo apartamento;1250000;1200;5600;200;4;5 ou mais;Churrasqueira, Piscina, Ar condicionado, Academia;Piscina, Permitido animais, Elevador, Condomínio fechado, Portaria, Academia, Salão de festas;59020450;Natal;Tirol;Rua Joaquim Fagundes;3
Flat com 2 dormitórios à venda em Ponta Negra, 60 m² por R$ 380.000 - Hotel Quality- Natal;380000;1300;0;60;2;1;Mobiliado, Piscina, Churrasqueira;Piscina, Elevador;59090425;Natal;Ponta Negra;Avenida Engenheiro Roberto Freire - de 4738 a 5018 - lado par;2
Sebastiano Ricci;1824202;0;0;264;1;3;Ar condicionado, Piscina, Varanda, Área de serviço, Churrasqueira;Condomínio fechado, Salão de festas, Piscina;59064380;Natal;Lagoa Nova;Rua Francisco Maia Sobrinho;3
Oportunidade no  Jerônimo Costa;480000;530;0;87;3;2;Área de serviço, Armários na cozinha, Varanda, Quarto de serviço;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59064364;Natal;Lagoa Nova;Rua Anísio de Souza;3
Excelente apartamento no Tirol (103 m², 3/4 sendo 02 suítes, andar baixo);289993;750;0;103;3;2;Quarto de serviço, Armários na cozinha, Varanda, Área de serviço;Elevador, Salão de festas, Permitido animais, Portaria, Condomínio fechado;59022460;Natal;Tirol;Rua Ilíria Tavares Galvão;3
Quer morar bem!;270000;100;empty;110;3;2;Área de serviço, Armários embutidos, Armários na cozinha, Varanda, Quarto de serviço;Condomínio fechado, Permitido animais, Portaria;59065510;Natal;Candelária;empty;4
Ap/luxo, mobiliado, 2 quartos (1 suíte), 55 m², piscina na cobertura vista/mar, Ponta Negr;300000;550;0;55;2;empty;Mobiliado, Piscina, Armários na cozinha, Churrasqueira, Ar condicionado;Piscina, Condomínio fechado, Elevador;59090080;Natal;Ponta Negra;Rua Pedro Fonseca Filho;2
Apartamento para venda tem 53 metros quadrados com 2 quartos em Planalto - Natal - RN;128000;0;0;53;2;1;empty;empty;59073070;Natal;Planalto;Rua Engenheiro João Hélio Alves Rocha;2
Cobertura Flat - Venda - R$ 1.050.000 - Flat c/ 3 quartos - Ponta Negra - Natal/RN;1050000;0;0;120;2;1;Churrasqueira, Piscina, Varanda;Permitido animais, Piscina, Elevador;59090370;Natal;Ponta Negra;Rua da Pescada;3
Apartamento a venda com 2 qtos em Satélite, Natal RN;220000;300;800;50;1;1;Área de serviço, Piscina, Varanda, Mobiliado, Ar condicionado, Churrasqueira, Academia;Piscina, Salão de festas, Condomínio fechado, Academia, Elevador;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Apartamento para venda tem 79 metros quadrados com 3 quartos em Ponta Negra - Natal - RN;426664;0;0;79;3;2;Churrasqueira, Varanda, Piscina;Condomínio fechado, Portaria, Permitido animais, Salão de festas, Piscina;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Apartamento com 2 dormitórios à venda, 70 m² por R$ 160.000,00 - Lagoa Nova - Natal/RN;160000;250;817;71;2;1;empty;empty;59064360;Natal;Lagoa Nova;Rua Doutor Paulo Pinto de Abreu;2
Apartamento para venda com 480 metros quadrados com 4 quartos em Petrópolis - Natal - RN;5000000;2500;0;480;5 ou mais;4;Academia, Churrasqueira, Piscina;Elevador, Piscina, Condomínio fechado, Academia, Salão de festas;59012360;Natal;Petrópolis;Avenida Presidente Getúlio Vargas;4
Belíssimo apartamento em Tirol;800000;1045;empty;153;4;2;Área de serviço, Armários embutidos, Armários na cozinha, Varanda, Quarto de serviço;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59015110;Natal;Tirol;Rua Desembargador Hemetério Fernandes;3
Residencial Diego Velazquez: Apartamento em Lagoa Nova com 127m²;850000;650;0;127;4;2;Área de serviço, Piscina, Ar condicionado, Varanda, Churrasqueira;Elevador, Permitido animais, Piscina, Salão de festas, Condomínio fechado, Portaria;59075000;Natal;Lagoa Nova;Avenida Senador Salgado Filho - de 1900 a 2860 - lado par;3
BOSQUE DAS MANGUEIRAS;370000;600;2000;80;3;2;empty;empty;59054500;Natal;Lagoa Nova;Rua Jaguarari - de 1765/1766 a 2081/2082;2
Apartamento em Lagoa Nova;499900;1200;empty;224;5 ou mais;2;Área de serviço, Armários embutidos, Armários na cozinha, Varanda, Piscina, Quarto de serviço;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59054500;Natal;Lagoa Nova;Rua Jaguarari - de 1765/1766 a 2081/2082;3
Residencial Palladio;2000000;1500;empty;208;5 ou mais;4;Área de serviço, Armários embutidos, Armários na cozinha, Churrasqueira, Varanda, Piscina, Quarto de serviço;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Salão de festas, Piscina;59020510;Natal;Tirol;Avenida Prudente de Morais - de 490 a 1666 - lado par;4
Espaço, Conforto, Lazer em Petrópolis !;1200000;0;0;214;4;3;Academia, Piscina, Armários na cozinha, Armários embutidos, Área de serviço, Quarto de serviço, Ar condicionado;Salão de festas, Academia, Condomínio fechado, Portaria, Piscina, Elevador;59012570;Natal;Petrópolis;Rua General Gustavo Cordeiro de Faria;4
Califórnia Residence oportunidade;190000;500;empty;55;1;1;empty;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas;59063380;Natal;Lagoa Nova;Rua Sérgio Severo;2
Belíssimo apartamento no Residencial Unique;3000000;2800;empty;285;5 ou mais;4;Quarto de serviço, Varanda, Churrasqueira, Área de serviço;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59020300;Natal;Tirol;Avenida Campos Sales - de 541/542 ao fim;4
Apartamento à venda com 3 dormitórios - Neópolis - Natal/RN;595000;400;0;90;3;empty;Área de serviço, Piscina, Churrasqueira;Condomínio fechado, Elevador, Piscina;59084470;Natal;Neópolis;Rua Conquista;3
Apartamento no Planalto- 2 quartos;105000;0;700;55;1;1;Piscina, Área de serviço;Piscina, Salão de festas, Portaria, Condomínio fechado;59073090;Natal;Planalto;Rua Abreulândia;2
Vendo Apartamento andar alto 3/4 em Capim Macio;370000;600;1573;65;2;2;Piscina, Churrasqueira, Área de serviço;Piscina, Elevador;59082190;Natal;Capim Macio;Rua Humberto Monte;3
Ed. Corais de Ponta Negra - CRECI 4306;460000;800;2200;96;2;2;Área de serviço, Armários na cozinha, Ar condicionado, Churrasqueira, Academia, Piscina;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59090500;Natal;Ponta Negra;Rua da Lagosta;3
Apartamento para venda tem 194 metros quadrados com 4 quartos em Ribeira - Natal - RN;430000;800;0;194;4;1;Armários na cozinha, Academia, Quarto de serviço, Varanda, Mobiliado, Armários embutidos, Área de serviço;Academia, Elevador, Condomínio fechado, Portaria, Permitido animais;59012600;Natal;Ribeira;Avenida Deodoro da Fonseca - até 404 - lado par;4
Apartamento para venda Serrambi I, 65m², com 2 quartos em Neópolis - Natal - RN;115000;100;0;65;1;1;Área de serviço;empty;59091120;Natal;Ponta Negra;Avenida Ayrton Senna - de 3007 ao fim - lado ímpar;2
Apartamento com 3 dormitórios à venda, 141 m² por R$ 940.000,00 - Capim Macio - Natal/RN;940000;0;0;142;4;2;Churrasqueira, Academia, Piscina, Área de serviço;Academia, Piscina, Segurança 24h, Condomínio fechado;59082200;Natal;Capim Macio;Rua Alexandre Câmara;3
Apartamento para venda ponta negra Towers possui 66 metros quadrados com 2 quartos;450000;480;1100;66;1;1;empty;empty;59094100;Natal;Ponta Negra;Avenida Praia de Ponta Negra - de 8771/8772 a 9019/9020;2
Oportunidade  Capim macio;440000;0;0;83;2;2;Churrasqueira, Piscina, Quarto de serviço, Ar condicionado;Salão de festas, Portaria, Elevador, Permitido animais, Condomínio fechado, Piscina;59082090;Natal;Capim Macio;Rua Valter Fernandes;3
Apartamento para venda Jardim Botânico, 84m², com 3 quartos em Neópolis - Natal - RN;150000;0;0;84;1;empty;Área de serviço;empty;59080480;Natal;Neópolis;Rua Sebastião Barreto;3
Apartamento para venda Jardim Botânico, 84m², com 3 quartos em Neópolis - Natal - RN;150000;0;0;84;1;empty;Área de serviço;empty;59080480;Natal;Neópolis;Rua Sebastião Barreto;3
Apartamento para venda Veritá I, 56m², com 2 quartos em Cidade Satélite - Natal - RN;90000;0;0;56;1;1;Área de serviço;empty;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Oportunidade!!!!!!!!!!Vendo Apartamento 03 quartos med 94 m² no Condomínio Natal Brisa;390000;0;0;94;3;2;Academia, Piscina, Churrasqueira;Piscina, Salão de festas, Elevador, Condomínio fechado, Permitido animais, Portaria, Academia;59067480;Natal;Pitimbu;Rua das Perdizes;3
Lacqua Condomínio Clube cobertura duplex semi mobiliada de 126m²;950000;595;2800;126;3;2;Piscina, Academia, Churrasqueira, Ar condicionado, Mobiliado;Portaria, Permitido animais, Salão de festas, Elevador, Academia, Condomínio fechado, Piscina;59086005;Natal;Neópolis;Rua Lúcia Viveiros;3
Apartamento para venda possui 67 metros quadrados com 3 quartos em Neópolis - Natal - RN;220000;344;0;67;3;1;Varanda, Área de serviço;Permitido animais, Portaria, Condomínio fechado;59080480;Natal;Neópolis;Rua Sebastião Barreto;3
Apartamento com 3 dormitórios à venda, 101 m² por R$ 700.000,00 - Ponta Negra - Natal/RN;700000;550;750;101;3;2;Churrasqueira, Piscina, Área de serviço, Academia, Varanda;Academia, Elevador, Piscina, Segurança 24h, Condomínio fechado;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Apartamento para venda Serrambi VII, 57m², com 2 quartos em Neópolis - Natal - RN;120000;294;0;57;1;1;Área de serviço;Condomínio fechado;59088760;Natal;Neópolis;Rua Doutora Mirian Pinheiro Vieira de Sousa;2
Excelente oportunidade na Prudente de Morais com 3 quartos;435000;1400;3117;155;4;2;Ar condicionado;Elevador, Salão de festas, Condomínio fechado, Portaria;59020510;Natal;Tirol;Avenida Prudente de Morais - de 490 a 1666 - lado par;3
Apartamento para venda Apartamento Capim Macio, 120m², com 4 quartos em Capim Macio - Nata;882000;0;0;120;2;2;Área de serviço, Varanda, Academia;Academia, Salão de festas;59082090;Natal;Capim Macio;Rua Valter Fernandes;4
Apartamento solar Nabor Maia;350000;550;empty;55;2;1;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Churrasqueira, Varanda, Piscina;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas;59022020;Natal;Tirol;Avenida Governador Juvenal Lamartine;2
Vendo apartamento no Bairro de Tirol;600000;1280;0;160;5 ou mais;2;Área de serviço, Piscina, Academia;Academia, Elevador, Salão de festas, Portaria, Permitido animais, Piscina, Condomínio fechado;59063070;Natal;Lagoa Nova;Rua São José de Mipibu;3
Apartamento 02 quartos no Tirol;300000;450;1650;57;2;1;Churrasqueira;Permitido animais, Portaria, Salão de festas, Condomínio fechado;59014540;Natal;Tirol;Rua Capitão Abdon Nunes;2
Apartamento com 3 quartos no bairro de Capim Macio;670000;550;0;109;3;2;Piscina, Churrasqueira;Salão de festas, Permitido animais, Elevador, Portaria, Condomínio fechado, Piscina;59082040;Natal;Capim Macio;Rua Doutor Pedro Segundo de Araújo;3
Vendo apto 2/4 em Ponta Negra;250000;500;0;55;2;empty;Piscina, Área de serviço, Varanda, Churrasqueira;Piscina, Salão de festas, Elevador, Condomínio fechado, Portaria, Permitido animais;59090500;Natal;Ponta Negra;Rua da Lagosta;2
Para você investidor! Terrazzo Flat Ponta Negra Totalmente Mobiliado;290000;748;0;34;1;1;Ar condicionado, Piscina, Varanda;Elevador, Permitido animais, Piscina, Condomínio fechado, Portaria;59090177;Natal;Ponta Negra;Rua Altemar Dutra;1
Apartamento Mobiliado 1604 - 16º Andar - Venda - Natture Club - Natal-RN;425000;574;0;74;2;2;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Ar condicionado, Varanda;Condomínio fechado, Elevador, Segurança 24h, Portaria, Academia, Piscina, Salão de festas;59066050;Natal;Candelária;Rua Eletricista Elias Ferreira;3
NATAL - Padrão - Capim Macio;480000;535;2700;77;1;1;Área de serviço, Churrasqueira, Varanda, Piscina;Elevador, Piscina;59082100;Natal;Capim Macio;Rua Neuza Farache;3
Vendo Flat em Ponta Negra - Natal/RN Ref.:1010;175000;750;1900;38;1;empty;Varanda, Piscina;Piscina;59090080;Natal;Ponta Negra;Rua Pedro Fonseca Filho;1
Apartamento Tirol - Localização privilegiada;580000;0;0;106;2;2;Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado, Varanda, Piscina;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas;59022000;Natal;Tirol;Avenida Senador Salgado Filho - lado par;3
Apartamento em Tirol - 3 ou 4/4 Suítes - A partir de 101m²;842000;1;1;101;3;2;empty;empty;59022000;Natal;Tirol;Avenida Senador Salgado Filho - lado par;3
Apartamento em Neópolis (92 m², 3/4, andar baixo,  L'acqua Condomínio Club );449999;445;0;92;3;2;Academia, Churrasqueira, Piscina;Piscina, Salão de festas, Permitido animais, Elevador, Condomínio fechado, Academia, Portaria;59086005;Natal;Neópolis;Rua Lúcia Viveiros;3
Apartamento à venda em Lagoa Nova (Natal/RN) | Ed. Bacara - 103m;560000;690;3900;103;4;2;Varanda, Academia, Churrasqueira, Área de serviço, Piscina;Elevador, Piscina, Academia, Segurança 24h, Salão de festas;59056265;Natal;Lagoa Nova;Avenida Amintas Barros - de 3833 a 4425 - lado ímpar;3
Apartamento para venda com 200 metros quadrados com 4 quartos em Tirol - Condomínio Costa;580000;1800;4500;200;5 ou mais;empty;Ar condicionado, Piscina, Churrasqueira;Piscina, Permitido animais, Elevador, Condomínio fechado, Salão de festas;59022255;Natal;Tirol;Travessa Dom José Tomaz;4
Apartamento para venda possui 81 metros quadrados com 3 quartos em Candelária - Natal - RN;160000;170;0;81;2;2;empty;Portaria, Permitido animais, Condomínio fechado;59065600;Natal;Candelária;Avenida do Sol;3
RES. JARDIM SATÉLITE;112000;0;0;10;1;empty;empty;Condomínio fechado;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Vendo apartamento 3 quartos Barro Vermelho;300000;0;0;75;2;1;Área de serviço;Segurança 24h, Elevador, Salão de festas;59030440;Natal;Barro Vermelho;Rua Major Paula Moreira;3
Apartamento à venda, 3 suítes, 2 vagas, Barro Vermelho - Natal/RN;630000;750;2090;123;5 ou mais;2;Churrasqueira, Piscina, Área de serviço, Academia, Ar condicionado;Salão de festas, Academia, Elevador, Piscina, Segurança 24h;59030500;Natal;Barro Vermelho;Rua Jaguarari - até 1425/1426;3
Cobertura duplex para venda possui 550m²  com 4 suítes em Candelária - Natal/RN.;1500000;2200;0;550;5 ou mais;2;Piscina, Armários na cozinha, Churrasqueira, Armários embutidos, Mobiliado, Varanda, Ar condicionado;Elevador, Salão de festas, Permitido animais, Portaria, Piscina, Condomínio fechado;59064490;Natal;Candelária;Rua Ministro Mirabeau da Cunha Melo;4
Apartamento para venda Lual de Ponta Negra, 131m², com 3 quartos em Ponta Negra - Natal -;810000;0;0;131;3;2;Varanda, Área de serviço, Churrasqueira;Elevador, Salão de festas;59092540;Natal;Ponta Negra;Rua Tenente Olavo Francisco dos Santos;3
Pronto para morar - Apartamento 3 quartos - 2 vagas de garagem - Natal - RN;315000;0;0;75;2;2;Academia, Área de serviço, Piscina, Varanda, Churrasqueira;Elevador, Segurança 24h, Piscina, Salão de festas, Academia;59054600;Natal;Dix-Sept Rosado;Avenida Interventor Mário Câmara;3
Apartamento para venda tem 98 m2 com 3 quartos em Tirol;400000;1650;1960;98;3;2;Piscina, Ar condicionado, Varanda;Piscina, Salão de festas, Elevador, Condomínio fechado;59022250;Natal;Tirol;Rua Dom José Tomaz;3
Apartamento no Tirol (258 m², 03 suítes, andar alto, 03 vagas, Res. Joaquin Câmara);849999;1400;4800;258;5 ou mais;3;Churrasqueira, Piscina;Salão de festas, Portaria, Elevador, Permitido animais, Condomínio fechado, Piscina;59015270;Natal;Tirol;Rua Deputado Joaquim Câmara;4
APARTAMENTO RESIDENCIAL em NATAL - RN, TIROL;410000;602;2415;88;1;2;Piscina, Varanda, Churrasqueira;Piscina, Salão de festas;59014490;Natal;Tirol;Rua Desembargador Floriano Cavalcante;3
Apartamento para venda em Tirol;1800000;0;0;350;5 ou mais;4;empty;empty;59020430;Natal;Tirol;Rua Epaminondas Jacomé;4
Residencial Torre Lisboa - Lagoa Nova, Natal/rn;888540;0;0;143;5 ou mais;3;Piscina, Churrasqueira, Área de serviço, Academia, Ar condicionado, Varanda;Academia, Salão de festas, Permitido animais, Elevador, Piscina, Condomínio fechado, Portaria;59062410;Natal;Lagoa Nova;Rua Vereadora Maria Queiroz;3
